epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.42980560660362244,0.0010000000474974513,1.1645201444625854,0.6377358436584473,0.32730793952941895,0.8585858345031738,0.4542931914329529,1.0,0.27272728085517883
1,0.5356371402740479,0.0010000000474974513,0.824471116065979,0.7019950151443481,0.3597443997859955,0.7070707082748413,0.44119542837142944,0.8474576473236084,0.5050504803657532
2,0.5745140314102173,0.0010000000474974513,0.6915386319160461,0.751968502998352,0.3745098114013672,0.7676767706871033,0.35747620463371277,0.8983050584793091,0.5353535413742065
3,0.6112310886383057,0.0010000000474974513,0.6195434927940369,0.7955493927001953,0.3671373426914215,0.8585858345031738,0.32664579153060913,0.9354838728904724,0.5858585834503174
4,0.6015118956565857,0.0010000000474974513,0.6127020716667175,0.8154929280281067,0.3702045977115631,0.8282828330993652,0.33069804310798645,0.9354838728904724,0.5858585834503174
5,0.6306695342063904,0.0010000000474974513,0.577060341835022,0.8229317665100098,0.3679428994655609,0.8181818127632141,0.2886515259742737,0.9200000166893005,0.6969696879386902
6,0.593952476978302,0.0010000000474974513,0.5889649391174316,0.8017241358757019,0.360232412815094,0.8282828330993652,0.2920382022857666,0.9166666865348816,0.6666666865348816
7,0.6317494511604309,0.0010000000474974513,0.5742456316947937,0.8203677535057068,0.37395229935646057,0.7979797720909119,0.2809493839740753,0.8888888955116272,0.7272727489471436
8,0.6123110055923462,0.0010000000474974513,0.5582047700881958,0.8330804109573364,0.3503509759902954,0.7373737096786499,0.32998064160346985,0.8194444179534912,0.5959596037864685
9,0.6619870662689209,0.0010000000474974513,0.5517863631248474,0.8459302186965942,0.37841352820396423,0.7979797720909119,0.2953837811946869,0.8630136847496033,0.6363636255264282
