epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.3272138237953186,1.3900859355926514,0.511082112789154,0.2530664801597595,0.6565656661987305,0.699135959148407,0.0,0.0
1,0.3768898546695709,1.1248626708984375,0.5415019989013672,0.2626197934150696,0.747474730014801,0.5515440106391907,1.0,0.12121212482452393
2,0.46112310886383057,0.9526434540748596,0.6153846383094788,0.2980392277240753,0.7676767706871033,0.4222230613231659,0.9729729890823364,0.3636363744735718
3,0.5215982794761658,0.8150303959846497,0.6762028336524963,0.3337612450122833,0.808080792427063,0.3431701362133026,0.9090909361839294,0.5050504803657532
4,0.5485960841178894,0.8071764707565308,0.7126725316047668,0.36317136883735657,0.7878788113594055,0.3054477870464325,0.9242424368858337,0.6161616444587708
5,0.5453563928604126,0.7406741380691528,0.7340967059135437,0.37443217635154724,0.7878788113594055,0.28287285566329956,0.8783783912658691,0.6565656661987305
6,0.5755939483642578,0.7154244780540466,0.730720579624176,0.3731439709663391,0.7878788113594055,0.267469584941864,0.8690476417541504,0.7373737096786499
7,0.5734341144561768,0.6938895583152771,0.7622027397155762,0.39264988899230957,0.8181818127632141,0.23763763904571533,0.8666666746139526,0.7878788113594055
8,0.6015118956565857,0.6429181694984436,0.781862735748291,0.4071474075317383,0.8383838534355164,0.23190170526504517,0.8695651888847351,0.808080792427063
9,0.5971922278404236,0.6696192622184753,0.7667086720466614,0.3953185975551605,0.8282828330993652,0.23370873928070068,0.8735632300376892,0.7676767706871033
10,0.6209503412246704,0.6454362273216248,0.7977667450904846,0.40799492597579956,0.808080792427063,0.24985504150390625,0.8735632300376892,0.7676767706871033
11,0.593952476978302,0.6447548270225525,0.7770859003067017,0.40545809268951416,0.808080792427063,0.24332164227962494,0.8720930218696594,0.7575757503509521
12,0.647948145866394,0.5839980840682983,0.8259803652763367,0.4331619441509247,0.8383838534355164,0.23905999958515167,0.8695651888847351,0.808080792427063
13,0.6511878967285156,0.595513105392456,0.8220859169960022,0.4294871687889099,0.8484848737716675,0.22418859601020813,0.8817204236984253,0.8282828330993652
14,0.6328293681144714,0.594175398349762,0.805623471736908,0.42270687222480774,0.8484848737716675,0.2239498347043991,0.8888888955116272,0.808080792427063
15,0.6274297833442688,0.6123561859130859,0.812269926071167,0.4262717366218567,0.8484848737716675,0.23189058899879456,0.8804348111152649,0.8181818127632141
16,0.6738660931587219,0.5463745594024658,0.8369565010070801,0.4428114891052246,0.8484848737716675,0.22152018547058105,0.8804348111152649,0.8181818127632141
17,0.6544276475906372,0.5703461170196533,0.8279181718826294,0.43905553221702576,0.8383838534355164,0.22859328985214233,0.8617021441459656,0.8181818127632141
18,0.6630669832229614,0.5473759770393372,0.8468137383460999,0.4443729817867279,0.8484848737716675,0.23183919489383698,0.8709677457809448,0.8181818127632141
19,0.6695464253425598,0.5396746397018433,0.833737850189209,0.4403846263885498,0.8484848737716675,0.2349904328584671,0.8709677457809448,0.8181818127632141
20,0.6522678136825562,0.5649285316467285,0.8313397169113159,0.4495472311973572,0.8383838534355164,0.23679691553115845,0.8709677457809448,0.8181818127632141
21,0.6717062592506409,0.5472337603569031,0.8443908095359802,0.4455760717391968,0.8383838534355164,0.23367445170879364,0.8617021441459656,0.8181818127632141
22,0.6965442895889282,0.5053010582923889,0.8487085103988647,0.4557463526725769,0.8383838534355164,0.23549768328666687,0.8617021441459656,0.8181818127632141
23,0.6803455948829651,0.5401743650436401,0.8429951667785645,0.4460063874721527,0.8383838534355164,0.2322968691587448,0.8617021441459656,0.8181818127632141
24,0.6727861762046814,0.5377568006515503,0.8484107851982117,0.44430217146873474,0.8383838534355164,0.23226749897003174,0.8617021441459656,0.8181818127632141
